country,roi_mean,roi_median,movies
United States of America,3280.231706192107,2.3294047260869566,2908
Jamaica,34.03257058263158,34.03257058263158,2
Bahamas,10.751127626060606,5.32829906,3
Ireland,8.322789967794222,1.4261216176470588,25
Argentina,7.06710704592803,3.127490546875,3
Australia,6.439892134556778,1.7954586875,78
Israel,5.5629245,5.5629245,1
Taiwan,5.406356605950436,4.5114597726851855,4
Japan,5.398426831933471,3.025386014285714,40
Dominica,5.32829906,5.32829906,1
Iran,5.0,5.0,1
Spain,4.8035618549418055,1.6280242923076924,43
New Zealand,4.490949480567816,2.87551812,21
United Kingdom,4.425392855742364,2.291304746606335,436
Mexico,4.404425562228034,2.362187764590047,16
India,4.367132414081757,2.72339665,29
Indonesia,3.7319881818181817,3.7319881818181817,1
Canada,3.6344626032147045,1.9945889472222222,162
Italy,3.437808189521322,1.516151814814815,48
Peru,3.4138705444444444,3.4138705444444444,2
China,3.385006008906328,2.6523334133333334,37
Malta,3.2581145208571427,2.7508335057142856,4
France,3.212666486853247,1.7350551799999998,196
Brazil,3.080472394432602,1.9298993103448276,5
Philippines,3.0799641818181818,3.0799641818181818,1
Hong Kong,3.055370719111266,1.8446849017094018,26
Germany,2.988805528517821,1.8116692307692308,233
Iceland,2.9887355384659093,3.127490546875,5
Sweden,2.9372915751104594,2.766460812312312,8
United Arab Emirates,2.9045851597740193,1.2265846285714286,13
Finland,2.9007603662930195,3.127490546875,3
Poland,2.838810174280157,2.6478812241269845,4
Thailand,2.5775304142156865,2.1536222916666667,3
Greece,2.4643705980392157,2.4643705980392157,2
South Korea,2.442858024676237,0.7655343428571428,7
South Africa,2.383309773114134,2.1306030204081634,9
Russia,2.145375614245933,1.4737505555555555,11
Romania,2.0646267408803456,2.069137,7
Denmark,2.0635800486324367,2.1536222916666667,9
Pakistan,2.02928627875,2.02928627875,2
Austria,2.0000800611745073,2.214162,5
Czech Republic,1.997633902942451,1.9976746241269843,16
Slovenia,1.8651173911111112,1.8651173911111112,1
Hungary,1.77460923386424,1.8167818903846153,8
Switzerland,1.751863376179384,1.1972401027961976,12
Belgium,1.6737133569494627,0.7264156106216021,14
Norway,1.5800078858196924,1.1442397142857144,8
Portugal,1.536892052631579,1.536892052631579,1
Kazakhstan,1.4737505555555555,1.4737505555555555,1
Bulgaria,1.423972861111111,0.583441,3
Morocco,1.365762064102564,1.3882274,3
Luxembourg,1.2879977779114358,0.5602100026670567,6
Singapore,1.2792438039215686,1.2792438039215686,1
Chile,1.18139896,1.18139896,2
Serbia,1.1406827307692309,1.1406827307692309,1
Netherlands,1.0875830566784015,0.6997356178451178,14
Lithuania,0.395094,0.395094,1
Tunisia,0.37765728358208955,0.37765728358208955,1
Fiji,0.25525945454545457,0.25525945454545457,1
Angola,0.196034,0.196034,1
Serbia and Montenegro,0.13929896103896103,0.13929896103896103,1
