genre,roi_mean,roi_median,count
Comedy,7663.066247135691,2.303358275,1110
Drama,5908.024214500335,2.0591357258064518,1441
Horror,3077.422677768253,2.8863686581196584,332
Thriller,1074.897187121764,2.1704079333333333,935
Documentary,160.10674223419062,3.3167223333333333,38
Mystery,67.76183694981634,2.1302318571428573,265
Music,6.435300854169267,3.1230455428571426,111
Animation,6.087650491580575,2.7873214901960783,188
Science Fiction,5.926709917097279,2.22681602,431
Fantasy,5.817778381866221,2.226514953333333,342
Family,5.1575197742066665,2.543293,365
Romance,5.089232084133379,2.3816766874999997,574
Western,4.901748155645332,1.8006872852233677,57
War,4.899899772843349,2.050313961114113,120
Adventure,4.458006217847254,2.388724695652174,661
Crime,4.238685482232748,2.0016362857142855,521
History,4.0422937207617675,1.8876464,145
Action,3.579039589970635,2.1561083343750003,918
Foreign,0.46074674476190475,0.49466666666666664,5
